"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2020","20.340","20.350","20.530","19.670","1.67M","-0.54%"
"25.06.2020","20.450","20.550","20.600","20.270","1.90M","-0.58%"
"24.06.2020","20.570","21.390","21.390","20.250","2.77M","-4.77%"
"23.06.2020","21.600","21.590","21.890","21.090","2.42M","0.70%"
"22.06.2020","21.450","21.790","21.820","21.040","966.45K","-1.52%"
"19.06.2020","21.780","21.710","22.230","20.840","4.81M","1.02%"
"18.06.2020","21.560","21.900","22.090","21.000","1.23M","-2.62%"
"17.06.2020","22.140","21.670","22.350","21.520","1.48M","3.12%"
"16.06.2020","21.470","22.500","22.530","21.310","786.45K","-2.36%"
"15.06.2020","21.990","21.500","22.500","20.510","2.20M","1.29%"
"12.06.2020","21.710","21.290","21.940","20.770","1.66M","3.68%"
"11.06.2020","20.940","21.460","21.630","19.540","1.75M","-4.69%"
"10.06.2020","21.970","23.660","23.690","21.830","1.14M","-6.91%"
"09.06.2020","23.600","23.430","24.370","22.000","1.53M","-0.63%"
"08.06.2020","23.750","22.910","24.170","22.870","2.27M","5.09%"
"05.06.2020","22.600","21.500","22.850","21.400","2.08M","7.26%"
"04.06.2020","21.070","20.970","21.500","20.360","1.77M","0.62%"
"03.06.2020","20.940","20.690","21.080","20.310","5.13M","2.85%"
"02.06.2020","20.360","20.160","20.800","20.010","1.24M","1.50%"
"01.06.2020","20.060","20.270","20.600","19.310","1.47M","-0.79%"
"29.05.2020","20.220","19.810","22.650","18.820","957.33K","1.56%"
"28.05.2020","19.910","20.400","20.400","19.750","793.06K","-1.92%"
"27.05.2020","20.300","20.890","21.100","20.120","716.98K","-1.65%"
"26.05.2020","20.640","21.400","22.300","19.710","2.28M","-1.10%"
"25.05.2020","20.870","20.850","21.400","20.700","121.56K","1.80%"
"22.05.2020","20.500","20.060","21.110","18.000","970.15K","2.65%"
"21.05.2020","19.970","20.190","20.370","19.510","701.82K","-0.94%"
"20.05.2020","20.160","19.920","20.440","19.500","639.77K","1.56%"
"19.05.2020","19.850","20.900","20.900","19.200","1.24M","-5.61%"
"18.05.2020","21.030","20.490","21.500","20.000","896.54K","6.00%"
"15.05.2020","19.840","20.200","20.300","19.610","354.71K","-1.73%"
"14.05.2020","20.190","19.870","20.480","18.920","1.25M","1.20%"
"13.05.2020","19.950","20.510","20.550","19.500","1.78M","-2.92%"
"12.05.2020","20.550","20.440","20.850","19.960","1.03M","0.98%"
"11.05.2020","20.350","19.990","21.230","19.980","1.04M","1.85%"
"08.05.2020","19.980","19.070","20.000","19.050","1.06M","4.66%"
"07.05.2020","19.090","19.160","19.350","18.550","769.66K","0.10%"
"06.05.2020","19.070","19.100","19.450","18.190","867.92K","0.32%"
"05.05.2020","19.010","18.900","19.100","18.840","1.04M","1.12%"
"04.05.2020","18.800","18.900","19.010","17.390","1.33M","-1.05%"
"30.04.2020","19.000","19.370","19.370","18.550","752.71K","-2.81%"
"29.04.2020","19.550","19.000","19.690","18.500","1.47M","3.11%"
"28.04.2020","18.960","18.740","19.000","18.710","1.04M","2.76%"
"27.04.2020","18.450","17.600","18.740","17.580","1.03M","4.95%"
"24.04.2020","17.580","17.800","17.970","17.190","1.12M","-1.40%"
