"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2020","17.180","17.140","17.390","16.700","1.53M","0.12%"
"25.06.2020","17.160","16.930","17.470","16.850","1.62M","1.30%"
"24.06.2020","16.940","16.600","17.080","16.350","2.16M","0.83%"
"23.06.2020","16.800","17.010","17.360","16.630","2.07M","0.96%"
"22.06.2020","16.640","17.460","17.580","16.570","2.72M","-3.03%"
"19.06.2020","17.160","16.850","17.490","16.330","17.29M","2.20%"
"18.06.2020","16.790","17.370","17.630","16.640","1.22M","-3.34%"
"17.06.2020","17.370","16.920","17.680","16.260","2.23M","2.66%"
"16.06.2020","16.920","15.990","17.260","15.990","2.35M","8.46%"
"15.06.2020","15.600","15.810","16.200","15.060","2.20M","-3.05%"
"12.06.2020","16.090","15.600","16.580","15.600","1.29M","4.96%"
"11.06.2020","15.330","15.850","16.170","14.650","5.87M","-6.70%"
"10.06.2020","16.430","17.400","17.400","16.280","5.84M","-5.90%"
"09.06.2020","17.460","18.460","18.460","17.340","6.27M","-5.57%"
"08.06.2020","18.490","18.430","18.740","18.080","2.07M","2.38%"
"05.06.2020","18.060","17.680","18.190","17.450","1.43M","5.68%"
"04.06.2020","17.090","16.660","17.620","16.100","2.55M","3.08%"
"03.06.2020","16.580","15.780","16.890","15.490","1.75M","6.35%"
"02.06.2020","15.590","15.200","16.000","15.120","3.30M","4.42%"
"01.06.2020","14.930","14.690","15.280","14.460","545.82K","3.54%"
"29.05.2020","14.420","14.500","14.730","14.100","1.52M","-3.29%"
"28.05.2020","14.910","14.350","15.030","14.270","1.74M","4.63%"
"27.05.2020","14.250","14.000","14.340","13.720","1.11M","3.86%"
"26.05.2020","13.720","13.660","13.970","13.220","1.00M","1.78%"
"25.05.2020","13.480","13.580","13.650","13.240","189.78K","-0.30%"
"22.05.2020","13.520","13.290","13.550","12.790","837.56K","1.43%"
"21.05.2020","13.330","12.680","13.350","12.530","1.85M","5.04%"
"20.05.2020","12.690","12.770","13.290","12.520","870.81K","-0.63%"
"19.05.2020","12.770","13.130","13.130","12.750","742.84K","-2.82%"
"18.05.2020","13.140","13.350","13.560","12.880","1.31M","0.23%"
"15.05.2020","13.110","13.190","13.350","12.850","1.52M","-0.08%"
"14.05.2020","13.120","13.540","13.540","13.010","1.81M","-2.67%"
"13.05.2020","13.480","14.420","14.420","13.290","1.96M","-6.91%"
