"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2020","11.130","11.200","11.390","11.030","1.54M","-2.37%"
"25.06.2020","11.400","11.110","11.440","10.850","1.49M","3.07%"
"24.06.2020","11.060","11.300","11.410","11.010","2.46M","-2.12%"
"23.06.2020","11.300","11.070","11.470","11.010","3.57M","2.63%"
"22.06.2020","11.010","10.750","11.470","10.500","2.57M","2.61%"
"19.06.2020","10.730","10.310","10.840","10.100","22.35M","5.20%"
"18.06.2020","10.200","10.400","10.400","10.150","3.61M","-1.45%"
"17.06.2020","10.350","10.360","10.480","10.150","7.57M","-0.10%"
"16.06.2020","10.360","10.660","10.740","10.200","1.92M","-0.67%"
"15.06.2020","10.430","10.330","10.500","10.100","1.78M","-0.95%"
"12.06.2020","10.530","10.350","10.730","10.290","5.15M","3.24%"
"11.06.2020","10.200","10.490","10.490","10.050","3.58M","-5.38%"
"10.06.2020","10.780","10.770","10.960","10.250","2.91M","1.60%"
"09.06.2020","10.610","11.260","11.260","10.530","4.43M","-6.44%"
"08.06.2020","11.340","10.955","11.720","10.955","-","2.90%"
"05.06.2020","11.020","10.200","11.070","10.130","3.30M","10.87%"
"04.06.2020","9.940","9.820","10.200","9.820","4.62M","1.43%"
"03.06.2020","9.800","9.320","9.970","9.300","10.52M","5.15%"
"02.06.2020","9.320","8.960","9.420","8.900","3.83M","4.02%"
"01.06.2020","8.960","9.240","9.240","8.770","2.98M","-2.18%"
"29.05.2020","9.160","9.250","9.330","8.900","6.01M","-2.97%"
"28.05.2020","9.440","9.840","9.840","8.960","4.85M","-3.87%"
"27.05.2020","9.820","9.820","9.970","9.720","995.88K","0.41%"
"26.05.2020","9.780","9.880","9.980","9.690","3.93M","0.20%"
"25.05.2020","9.760","9.700","9.880","9.680","183.22K","0.62%"
"22.05.2020","9.700","9.820","9.900","9.650","1.30M","-1.82%"
"21.05.2020","9.880","10.030","10.030","9.760","1.14M","-1.40%"
"20.05.2020","10.020","9.950","10.280","9.710","2.33M","0.60%"
"19.05.2020","9.960","10.160","10.200","9.900","2.60M","-2.45%"
"18.05.2020","10.210","9.870","10.260","9.540","1.62M","4.72%"
"15.05.2020","9.750","9.960","9.960","9.680","902.03K","-1.42%"
"14.05.2020","9.890","9.750","9.980","9.520","1.38M","1.44%"
"13.05.2020","9.750","10.090","10.090","9.650","2.74M","-2.40%"
"12.05.2020","9.990","10.550","10.560","9.870","895.12K","-4.86%"
"11.05.2020","10.500","10.510","10.620","10.220","1.05M","0.38%"
"08.05.2020","10.460","10.150","10.750","10.110","1.43M","3.56%"
"07.05.2020","10.100","9.900","10.250","9.800","1.49M","3.17%"
"06.05.2020","9.790","10.130","10.130","9.670","1.92M","-2.78%"
"05.05.2020","10.070","10.020","10.180","9.750","1.12M","0.10%"
"04.05.2020","10.060","9.530","10.270","9.100","1.77M","5.01%"
"30.04.2020","9.580","9.950","9.950","9.510","11.19M","-2.15%"
"29.04.2020","9.790","10.000","10.460","9.660","5.86M","-1.21%"
"28.04.2020","9.910","10.160","10.230","9.650","4.97M","-2.46%"
"27.04.2020","10.160","9.740","10.300","9.550","1.73M","5.94%"
"24.04.2020","9.590","9.580","9.760","9.500","1.58M","-0.31%"
"23.04.2020","9.620","9.650","9.720","9.510","2.03M","-1.23%"
"22.04.2020","9.740","10.040","10.180","9.650","7.94M","-3.37%"
"21.04.2020","10.080","10.010","10.250","9.570","1.82M","0.70%"
"20.04.2020","10.010","10.100","10.130","9.560","5.95M","-1.86%"
"17.04.2020","10.200","10.510","10.920","9.980","6.26M","-0.39%"
"16.04.2020","10.240","10.520","10.520","9.910","7.85M","-1.35%"
"15.04.2020","10.380","10.410","10.500","9.940","7.28M","-0.76%"
"14.04.2020","10.460","9.930","10.920","9.900","2.78M","6.09%"
"13.04.2020","9.860","9.430","9.980","9.220","499.13K","5.57%"
"08.04.2020","9.340","9.220","9.450","8.970","2.39M","1.97%"
"07.04.2020","9.160","9.610","9.910","8.970","2.98M","-2.86%"
"06.04.2020","9.430","9.200","9.900","9.160","2.50M","4.31%"
"03.04.2020","9.040","9.350","9.350","8.850","3.08M","-3.42%"
"02.04.2020","9.360","8.440","9.400","8.400","2.30M","13.04%"
"01.04.2020","8.280","8.890","8.890","8.030","2.97M","-8.61%"
"31.03.2020","9.060","8.800","9.360","8.650","4.15M","4.74%"
"30.03.2020","8.650","8.460","8.790","8.430","4.03M","2.85%"
"27.03.2020","8.410","8.550","8.600","8.010","5.46M","-3.44%"
"26.03.2020","8.710","7.570","9.420","7.570","8.04M","14.30%"
"25.03.2020","7.620","8.260","8.260","7.300","5.53M","-5.93%"
"24.03.2020","8.100","8.230","8.900","8.010","11.97M","-0.37%"
"23.03.2020","8.130","9.520","9.530","8.000","3.56M","-16.10%"
"20.03.2020","9.690","10.800","11.690","9.510","10.46M","-6.38%"
"19.03.2020","10.350","11.840","11.840","10.290","7.04M","-12.06%"
"18.03.2020","11.770","13.470","13.470","11.480","3.52M","-14.46%"
"17.03.2020","13.760","15.400","15.400","13.380","4.33M","-11.17%"
"13.03.2020","15.490","15.540","16.250","15.050","2.34M","2.04%"
"12.03.2020","15.180","16.250","16.250","14.050","2.93M","-7.38%"
"11.03.2020","16.390","17.090","17.140","16.330","4.44M","-5.04%"
"10.03.2020","17.260","17.090","17.980","16.770","3.26M","4.10%"
