"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2020","16.520","16.500","16.980","16.440","1.52M","-0.48%"
"25.06.2020","16.600","16.590","16.690","16.550","2.59M","-0.60%"
"24.06.2020","16.700","17.120","17.120","16.250","5.02M","-3.91%"
"23.06.2020","17.380","17.670","17.990","17.300","2.02M","-1.08%"
"22.06.2020","17.570","17.590","18.000","17.520","968.74K","-0.11%"
"19.06.2020","17.590","17.080","17.970","16.720","17.97M","4.58%"
"18.06.2020","16.820","17.390","17.390","16.770","2.29M","-3.61%"
"17.06.2020","17.450","17.000","17.500","16.980","1.48M","2.65%"
"16.06.2020","17.000","17.270","17.420","16.740","3.90M","0.00%"
"15.06.2020","17.000","16.290","17.180","15.950","2.72M","3.60%"
"12.06.2020","16.410","16.310","16.500","16.180","2.44M","1.93%"
"11.06.2020","16.100","16.650","16.660","15.800","5.87M","-6.18%"
"10.06.2020","17.160","18.350","18.350","17.080","3.64M","-6.74%"
"09.06.2020","18.400","19.010","19.010","18.290","4.79M","-4.17%"
"08.06.2020","19.200","18.480","19.290","18.050","4.66M","5.96%"
"05.06.2020","18.120","17.660","18.450","17.630","2.58M","3.13%"
"04.06.2020","17.570","18.090","18.100","17.120","3.02M","-2.61%"
"03.06.2020","18.040","17.010","18.690","16.990","4.16M","5.99%"
"02.06.2020","17.020","15.800","17.060","15.580","3.75M","8.27%"
"01.06.2020","15.720","15.350","15.800","14.860","2.56M","3.42%"
"29.05.2020","15.200","14.980","15.300","14.660","9.85M","1.67%"
"28.05.2020","14.950","15.280","15.290","14.660","2.53M","-2.16%"
"27.05.2020","15.280","14.850","15.300","14.560","3.39M","3.31%"
"26.05.2020","14.790","14.580","14.890","14.460","2.68M","2.35%"
"25.05.2020","14.450","14.300","14.620","14.200","517.62K","0.35%"
"22.05.2020","14.400","13.990","14.500","13.750","1.05M","3.52%"
"21.05.2020","13.910","14.350","14.500","13.700","1.90M","-3.40%"
"20.05.2020","14.400","13.740","14.490","13.520","2.07M","6.27%"
"19.05.2020","13.550","14.360","14.660","13.460","2.84M","-6.42%"
"18.05.2020","14.480","14.300","14.720","14.300","3.02M","2.04%"
"15.05.2020","14.190","14.420","14.500","14.070","1.62M","-2.27%"
"14.05.2020","14.520","14.540","14.790","14.250","1.96M","-0.62%"
"13.05.2020","14.610","15.470","15.470","14.430","3.76M","-5.50%"
"12.05.2020","15.460","14.930","15.700","14.930","6.94M","3.83%"
"11.05.2020","14.890","14.550","15.080","14.350","3.44M","2.41%"
"08.05.2020","14.540","14.490","14.940","14.460","4.13M","1.68%"
"07.05.2020","14.300","14.830","14.870","14.240","3.33M","-2.85%"
"06.05.2020","14.720","14.990","15.000","14.500","2.17M","-1.21%"
"05.05.2020","14.900","14.650","14.990","14.570","5.88M","2.05%"
"04.05.2020","14.600","14.470","14.740","14.180","3.64M","0.69%"
"30.04.2020","14.500","15.200","15.380","14.190","5.28M","-4.98%"
"29.04.2020","15.260","15.250","15.500","15.140","2.89M","2.14%"
"28.04.2020","14.940","14.730","15.330","14.480","5.91M","1.22%"
"27.04.2020","14.760","15.220","15.320","14.480","3.14M","-1.80%"
"24.04.2020","15.030","15.010","15.290","14.750","33.88M","1.21%"
"23.04.2020","14.850","15.540","15.540","14.750","2.80M","-4.01%"
"22.04.2020","15.470","15.730","15.830","15.440","2.08M","-0.13%"
"21.04.2020","15.490","15.550","15.650","15.440","1.06M","-1.65%"
"20.04.2020","15.750","15.830","16.030","15.650","1.28M","-1.87%"
"17.04.2020","16.050","16.130","16.640","15.890","2.11M","0.44%"
"16.04.2020","15.980","16.390","16.910","15.830","6.04M","-3.56%"
"15.04.2020","16.570","16.960","17.190","16.340","5.77M","-3.44%"
"14.04.2020","17.160","17.070","17.690","17.000","3.57M","2.14%"
"13.04.2020","16.800","17.090","17.090","16.690","727.51K","-0.06%"
"08.04.2020","16.810","16.910","17.000","16.400","4.71M","-0.06%"
"07.04.2020","16.820","16.850","17.000","16.410","3.81M","1.94%"
"06.04.2020","16.500","16.670","17.120","16.020","4.29M","1.79%"
"03.04.2020","16.210","16.630","16.760","16.010","2.80M","-2.64%"
"02.04.2020","16.650","16.590","17.500","15.800","2.88M","1.96%"
"01.04.2020","16.330","16.510","16.950","16.150","2.18M","-4.17%"
"31.03.2020","17.040","16.370","18.400","16.290","5.93M","4.67%"
"30.03.2020","16.280","16.500","16.680","15.660","1.67M","-1.27%"
"27.03.2020","16.490","17.480","17.480","16.130","2.07M","-7.83%"
"26.03.2020","17.890","16.630","20.490","16.630","2.38M","8.16%"
"25.03.2020","16.540","15.430","17.750","14.530","2.30M","7.68%"
"24.03.2020","15.360","14.200","16.500","14.200","3.99M","9.87%"
"23.03.2020","13.980","16.200","16.530","13.250","2.49M","-15.63%"
"20.03.2020","16.570","18.300","18.430","16.500","14.74M","-9.11%"
"19.03.2020","18.230","18.800","18.800","17.000","3.54M","-2.88%"
"18.03.2020","18.770","20.030","20.550","18.270","2.61M","-7.49%"
"17.03.2020","20.290","18.320","20.500","16.640","6.28M","6.40%"
"13.03.2020","19.070","17.860","19.430","17.860","3.63M","8.23%"
"12.03.2020","17.620","18.480","18.500","16.420","7.38M","-6.67%"
"11.03.2020","18.880","19.190","19.430","18.750","2.13M","-3.58%"
"10.03.2020","19.580","19.140","19.780","18.330","3.08M","5.78%"
"09.03.2020","18.510","19.700","19.700","18.240","3.94M","-6.52%"
"06.03.2020","19.800","20.500","20.500","19.670","4.29M","-4.76%"
"05.03.2020","20.790","21.360","21.750","20.750","2.47M","-3.17%"
"04.03.2020","21.470","21.090","21.490","21.000","1.64M","2.73%"
"03.03.2020","20.900","21.070","22.000","20.670","6.64M","-0.81%"
"02.03.2020","21.070","20.970","21.340","20.600","6.64M","-0.24%"
"28.02.2020","21.120","20.300","22.000","18.380","11.32M","2.38%"
"27.02.2020","20.630","21.000","21.000","20.200","3.26M","-2.32%"
"26.02.2020","21.120","21.650","21.690","21.000","3.28M","-1.77%"
"25.02.2020","21.500","21.760","22.090","21.350","6.71M","-1.10%"
"24.02.2020","21.740","21.910","21.990","21.300","2.08M","-1.18%"
"21.02.2020","22.000","22.210","22.340","21.910","1.31M","-0.68%"
"20.02.2020","22.150","22.600","22.730","22.080","2.18M","-2.03%"
"19.02.2020","22.610","23.070","23.070","22.510","1.73M","-1.27%"
"18.02.2020","22.900","23.010","23.120","22.600","1.30M","-0.91%"
"17.02.2020","23.110","23.230","23.250","22.900","290.60K","-0.34%"
"14.02.2020","23.190","23.270","23.280","22.700","3.40M","-0.17%"
"13.02.2020","23.230","23.010","23.280","22.600","1.83M","0.04%"
"12.02.2020","23.220","22.720","23.320","22.590","3.55M","2.93%"
"11.02.2020","22.560","22.380","23.000","22.210","7.71M","1.26%"
"10.02.2020","22.280","22.060","22.370","21.660","3.17M","0.77%"
"07.02.2020","22.110","21.500","22.160","21.110","2.37M","2.08%"
"06.02.2020","21.660","22.340","22.600","21.400","4.92M","-2.61%"
"05.02.2020","22.240","22.880","23.290","22.050","4.41M","-1.59%"
"04.02.2020","22.600","21.530","22.690","21.530","10.36M","5.17%"
"31.01.2020","21.490","22.960","22.960","21.230","6.53M","-6.61%"
"30.01.2020","23.010","23.230","23.230","22.830","5.00M","-1.79%"
"29.01.2020","23.430","23.530","23.550","23.150","1.59M","0.09%"
