"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"26.06.2020","79.100","80.710","81.480","78.810","5.53M","-2.75%"
"25.06.2020","81.340","81.880","82.490","81.010","4.83M","-0.73%"
"24.06.2020","81.940","81.510","82.270","81.010","6.64M","-0.45%"
"23.06.2020","82.310","83.190","84.390","81.500","5.20M","-0.28%"
"22.06.2020","82.540","85.470","85.900","82.510","6.79M","-3.90%"
"19.06.2020","85.890","81.840","86.710","81.840","23.92M","5.52%"
"18.06.2020","81.400","83.000","83.350","81.200","9.40M","-2.48%"
"17.06.2020","83.470","80.000","83.870","79.840","9.11M","4.95%"
"16.06.2020","79.530","79.090","79.890","77.330","6.87M","2.09%"
"15.06.2020","77.900","77.510","78.430","76.010","5.65M","-0.52%"
"12.06.2020","78.310","75.630","78.760","75.610","7.63M","4.86%"
"11.06.2020","74.680","80.760","80.760","73.940","7.90M","-8.51%"
"10.06.2020","81.630","84.920","84.920","81.410","8.29M","-3.81%"
"09.06.2020","84.860","85.390","85.390","80.530","12.32M","-0.25%"
"08.06.2020","85.070","80.990","85.600","80.410","9.00M","5.76%"
"05.06.2020","80.440","79.000","80.890","79.000","14.84M","2.85%"
"04.06.2020","78.210","77.710","78.790","76.420","16.30M","0.94%"
"03.06.2020","77.480","72.300","77.930","72.300","10.53M","7.45%"
"02.06.2020","72.110","70.000","72.290","69.120","6.23M","3.40%"
"01.06.2020","69.740","67.400","69.890","66.900","3.39M","3.70%"
"29.05.2020","67.250","69.950","69.950","66.500","20.02M","-3.96%"
"28.05.2020","70.020","71.050","71.860","69.660","8.80M","-1.45%"
"27.05.2020","71.050","68.790","71.570","67.610","10.90M","3.95%"
"26.05.2020","68.350","67.190","69.480","67.050","5.39M","2.72%"
"25.05.2020","66.540","67.980","67.980","66.110","854.91K","-1.63%"
"22.05.2020","67.640","66.130","68.000","65.510","4.06M","2.33%"
"21.05.2020","66.100","66.340","66.900","65.010","8.84M","-0.38%"
"20.05.2020","66.350","67.490","67.560","66.010","7.76M","-1.06%"
"19.05.2020","67.060","68.610","69.050","66.000","16.84M","-2.85%"
"18.05.2020","69.030","68.500","69.500","68.500","9.81M","2.30%"
"15.05.2020","67.480","69.810","70.080","67.110","7.03M","-3.71%"
"14.05.2020","70.080","69.000","70.690","67.060","7.17M","0.89%"
"13.05.2020","69.460","72.310","72.590","69.140","7.24M","-4.65%"
"12.05.2020","72.850","76.050","76.990","72.600","10.51M","-4.47%"
